id,prompt_id,request_ordinal,prompt_hash,prompt_char_len,prompt_token_len,vllm_request_id,workload,run_name,experiment,source_dataset,split,method,k,ngram_lookup_min,ngram_lookup_max,temperature,max_prompt_tokens,num_turns,num_turns_completed,seed,draft_model,eagle3_model,n_output_tokens,latency_s,tokens_per_sec,acceptance_rate,accepted_tokens_per_verifier_pass,draft_tokens,accepted_tokens_total,acceptance_metrics_source,rollback_frequency,verifier_utilization,mean_entropy,repetition_density,acceptance_volatility,accepted_per_draft,accept_rate_pos_0,accept_rate_pos_1,accept_rate_pos_2,accept_rate_pos_3,ttft_s,itl_s,prefill_time_s,decode_time_s,tpot_s,e2e_latency_engine_s,prefix_cache_hit_rate,prompt_cache_frac,kv_cache_usage_perc,flops_per_gpu,read_bytes_per_gpu,rejected_tokens,rejection_rate,first_rejection_pos,rejection_concentration,rejection_severity,acceptance_decay_slope,entropy_w0_mean,entropy_w1_mean,entropy_w2_mean,entropy_trend,entropy_range,high_entropy_frac,entropy_bucket,oracle_k_estimated,oracle_expected_tokens,oracle_k_vs_k4_gain,summary_path
code_gen_00381,code_gen_00381,0,84e04c18a0057e17af9d4645d87196581d107d97,426,145,0,code_gen,code_gen,fixed_baseline_cap50,openai/openai_humaneval,test,draft_sd,16,1,4,0.0,0,1,1,42,Qwen/Qwen2.5-1.5B-Instruct,,512,36.44831359805539,14.04728914611063,0.2653061224489796,13.0,1568.0,416.0,real,0.0,0.0625,0.2079751007900217,0.360078277886497,0.0,4.244897959183674,0.7653061224489796,0.6326530612244898,0.4897959183673469,0.4081632653061224,,,,,,,,,,,,1152.0,0.7346938775510204,2.0,0.2034748632919313,0.2346938775510204,-0.0403661464585834,0.1036866870988686,0.1462635763591294,0.3720448070734389,0.0007611965622688,1.5636818408352668,0.1875,medium,16,1.623903560408792,0.0404837684680123,results/apexp_block/config_large_500/evaluation/paper_cap50/fixed_baseline_runs/fixed_baseline_cap50/code_gen/draft_sd/k16_temp0.0_draft_Qwen2.5_1.5B_Instruct/summary.csv
code_gen_00932,code_gen_00932,1,4f16cc697ea3474cb9346d5087399201af8cfcc8,82,16,1,code_gen,code_gen,fixed_baseline_cap50,google-research-datasets/mbpp,test,draft_sd,16,1,4,0.0,0,1,1,42,Qwen/Qwen2.5-1.5B-Instruct,,512,29.81866488931701,17.17045353641678,0.1287425149700598,10.75,2672.0,344.0,real,0.0,0.0625,0.2287445917958913,0.360078277886497,0.0,2.059880239520958,0.6167664670658682,0.3952095808383233,0.2994011976047904,0.2335329341317365,,,,,,,,,,,,2328.0,0.8712574850299402,1.0,0.1711438633176982,0.3832335329341317,-0.0315604085945755,0.2468401307718417,0.264707917124327,0.175314318936905,-0.000286965871863,1.5438906096960243,0.2109375,medium,16,0.9537647027100528,0.0032234221220209,results/apexp_block/config_large_500/evaluation/paper_cap50/fixed_baseline_runs/fixed_baseline_cap50/code_gen/draft_sd/k16_temp0.0_draft_Qwen2.5_1.5B_Instruct/summary.csv
code_gen_00356,code_gen_00356,2,e64a2019ee7bd96a6b0c5cd881082b517b2108d0,71,14,2,code_gen,code_gen,fixed_baseline_cap50,google-research-datasets/mbpp,test,draft_sd,16,1,4,0.0,0,1,1,42,Qwen/Qwen2.5-1.5B-Instruct,,512,9.862559475004671,51.91350189548615,0.5204545454545455,14.3125,880.0,458.0,real,0.0,0.0625,0.1788471757737369,0.8610567514677103,0.0,8.327272727272728,0.8545454545454545,0.7636363636363637,0.6545454545454545,0.5818181818181818,,,,,,,,,,,,422.0,0.4795454545454545,7.0,0.1307756580074163,0.1454545454545455,-0.0254545454545454,0.4589333437011781,0.063725954995719,0.0158004256841906,-0.0012594570464798,1.5109336814900098,0.130859375,medium,16,2.460777843800278,0.2780260645502266,results/apexp_block/config_large_500/evaluation/paper_cap50/fixed_baseline_runs/fixed_baseline_cap50/code_gen/draft_sd/k16_temp0.0_draft_Qwen2.5_1.5B_Instruct/summary.csv
code_gen_00859,code_gen_00859,3,9c1d4ce785cef9c2d4f40f31b1eb407c719f1bef,110,24,3,code_gen,code_gen,fixed_baseline_cap50,google-research-datasets/mbpp,test,draft_sd,16,1,4,0.0,0,1,1,42,Qwen/Qwen2.5-1.5B-Instruct,,512,12.229923723265529,41.86452929595952,0.4200367647058823,14.28125,1088.0,457.0,real,0.0,0.0625,0.1682819132874553,0.4011741682974559,5.551115123125783e-17,6.720588235294118,0.7941176470588235,0.7058823529411765,0.5441176470588235,0.5,,,,,,,,,,,,631.0,0.5799632352941176,4.0,0.1435207429804397,0.2058823529411765,-0.026924740484429,0.3197014580054006,0.1737299947423447,0.0132383292794211,-0.0009284730085016,1.5513468835774495,0.1640625,medium,16,1.924347039154893,0.1121650729428027,results/apexp_block/config_large_500/evaluation/paper_cap50/fixed_baseline_runs/fixed_baseline_cap50/code_gen/draft_sd/k16_temp0.0_draft_Qwen2.5_1.5B_Instruct/summary.csv
code_gen_00790,code_gen_00790,4,77093a743ef1547796988cd86aaa882f55c63822,95,19,4,code_gen,code_gen,fixed_baseline_cap50,google-research-datasets/mbpp,test,draft_sd,16,1,4,0.0,0,1,1,42,Qwen/Qwen2.5-1.5B-Instruct,,512,10.720106474123895,47.76071965664347,0.4739583333333333,14.21875,960.0,455.0,real,0.0,0.0625,0.1660910398561095,0.8962818003913894,1.1102230246251563e-16,7.583333333333333,0.8166666666666667,0.6833333333333333,0.6,0.5666666666666667,,,,,,,,,,,,505.0,0.5260416666666666,5.0,0.1276073554023347,0.1833333333333333,-0.0242892156862744,0.4747526235036006,0.0190058833233628,0.0063934084054899,-0.0013756355036343,1.5887225034670107,0.140625,medium,16,2.079668922690181,0.1803744782457366,results/apexp_block/config_large_500/evaluation/paper_cap50/fixed_baseline_runs/fixed_baseline_cap50/code_gen/draft_sd/k16_temp0.0_draft_Qwen2.5_1.5B_Instruct/summary.csv
code_gen_00012,code_gen_00012,5,b75ad4691382268b58f701cdc3c6ee677d29f424,533,166,5,code_gen,code_gen,fixed_baseline_cap50,openai/openai_humaneval,test,draft_sd,16,1,4,0.0,0,1,1,42,Qwen/Qwen2.5-1.5B-Instruct,,512,19.66221486311406,26.0397927478914,0.2357954545454545,12.96875,1760.0,415.0,real,0.0,0.0625,0.2929456366995844,0.4266144814090019,0.0,3.772727272727273,0.7,0.5,0.4090909090909091,0.3454545454545454,,,,,,,,,,,,1345.0,0.7642045454545454,2.0,0.1727711890941071,0.3,-0.0341577540106951,0.1084647049140936,0.2807573736024358,0.4873279804789373,0.0009257176811676,1.5738263240224173,0.25390625,medium,16,1.262389106541933,0.0197444784427598,results/apexp_block/config_large_500/evaluation/paper_cap50/fixed_baseline_runs/fixed_baseline_cap50/code_gen/draft_sd/k16_temp0.0_draft_Qwen2.5_1.5B_Instruct/summary.csv
code_gen_00079,code_gen_00079,6,5927a5eaaf424da71c4351a7a33ecfac31582b08,53,10,6,code_gen,code_gen,fixed_baseline_cap50,google-research-datasets/mbpp,test,draft_sd,16,1,4,0.0,0,1,1,42,Qwen/Qwen2.5-1.5B-Instruct,,512,28.00367441168055,18.28331498478074,0.1409235668789809,11.0625,2512.0,354.0,real,0.0,0.0625,0.1754530368499411,0.4129158512720156,5.551115123125783e-17,2.254777070063694,0.6242038216560509,0.4394904458598726,0.2802547770700637,0.1783439490445859,,,,,,,,,,,,2158.0,0.8590764331210191,1.0,0.1679596669262723,0.375796178343949,-0.0306481828400149,0.2213784549739691,0.1881095770999881,0.1175522640383552,-0.000388562161548,1.5537064933927125,0.154296875,medium,16,0.9916441165527788,0.0025143606470373,results/apexp_block/config_large_500/evaluation/paper_cap50/fixed_baseline_runs/fixed_baseline_cap50/code_gen/draft_sd/k16_temp0.0_draft_Qwen2.5_1.5B_Instruct/summary.csv
code_gen_00785,code_gen_00785,7,89a6ccbe30b6cb60dfeb420af81b0cf54781e122,448,113,7,code_gen,code_gen,fixed_baseline_cap50,openai/openai_humaneval,test,draft_sd,16,1,4,0.0,0,1,1,42,Qwen/Qwen2.5-1.5B-Instruct,,512,10.736650694161654,47.68712465223573,0.4822916666666667,14.46875,960.0,463.0,real,0.0,0.0625,0.0092981046094564,0.9354207436399216,5.551115123125783e-17,7.716666666666667,0.5,0.5,0.5,0.5,,,,,,,,,,,,497.0,0.5177083333333333,5.0,0.0171479975345357,0.5,-0.0032598039215686,0.0276950315099452,0.0001560082963009,0.0001508883312781,-8.795956192166212e-05,1.3031827134671397,0.005859375,low,16,0.9979660140751552,0.0604660140751552,results/apexp_block/config_large_500/evaluation/paper_cap50/fixed_baseline_runs/fixed_baseline_cap50/code_gen/draft_sd/k16_temp0.0_draft_Qwen2.5_1.5B_Instruct/summary.csv
code_gen_00432,code_gen_00432,8,bb26597c0c7aedae107bed6451c14fae57221507,65,12,8,code_gen,code_gen,fixed_baseline_cap50,google-research-datasets/mbpp,test,draft_sd,16,1,4,0.0,0,1,1,42,Qwen/Qwen2.5-1.5B-Instruct,,512,8.502243075985461,60.21940274162958,0.6236702127659575,14.65625,752.0,469.0,real,0.0,0.0625,0.1788236753979154,0.8101761252446184,2.220446049250313e-16,9.97872340425532,0.9148936170212766,0.8723404255319149,0.8297872340425532,0.6382978723404256,,,,,,,,,,,,283.0,0.3763297872340425,,0.1253602211169035,0.0851063829787234,-0.0231226533166457,0.4119566173078233,0.1094319559184977,0.0169864206701054,-0.0011947274692988,1.5354164324981578,0.1484375,medium,16,3.438015394644669,0.6400568805532769,results/apexp_block/config_large_500/evaluation/paper_cap50/fixed_baseline_runs/fixed_baseline_cap50/code_gen/draft_sd/k16_temp0.0_draft_Qwen2.5_1.5B_Instruct/summary.csv
code_gen_00608,code_gen_00608,9,13ec03fd95db9899f0aba74bbf0cd02f8a3e9534,48,12,9,code_gen,code_gen,fixed_baseline_cap50,google-research-datasets/mbpp,test,draft_sd,16,1,4,0.0,0,1,1,42,Qwen/Qwen2.5-1.5B-Instruct,,512,11.633576115127653,44.01054284023842,0.4413461538461538,14.34375,1040.0,459.0,real,0.0,0.0625,0.1709170138139057,0.8571428571428571,0.0,7.061538461538461,0.7846153846153846,0.6153846153846154,0.5538461538461539,0.4769230769230769,,,,,,,,,,,,581.0,0.5586538461538462,3.0,0.1168773632802232,0.2153846153846154,-0.0216968325791855,0.4450797821542231,0.0554193382348924,0.0140968639916864,-0.0012714744593885,1.5504610564250596,0.142578125,medium,16,1.763689742922317,0.1012765220967155,results/apexp_block/config_large_500/evaluation/paper_cap50/fixed_baseline_runs/fixed_baseline_cap50/code_gen/draft_sd/k16_temp0.0_draft_Qwen2.5_1.5B_Instruct/summary.csv
